idpagina,comentario,id,fecha,contadorlikes,contadorrespuestas
"SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304,""Por favor ayúdenos con la entrega de la medicina Olaparib, desde el mes de abril  no están entregando esta medicina."",1603,2024-06-07 17:57:37,1,0"
SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304,Por favor la atención a los pacientes que tienen sus tratamientos están suspendido los convenios Señor presidente #DanielNoboaAzin ayudenos en el sistema de la salud,1604,2024-06-08 02:18:12,0,0
SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304,No están atendiendo a los pacientes derivados del IESS.,1605,2024-06-09 00:33:21,0,0
"SolcaPortoviejo/192107524275402_770659501910837/192107524275402_770659501910837,""Por favor ayúdenos con la entrega de la medicina Olaparib, desde el mes de abril  no están entregando esta medicina."",1608,2024-06-07 17:56:02,0,0"
SolcaPortoviejo/192107524275402_770639558579498/192107524275402_770639558579498,Excelente ser humano y un gran profesional el doctor Freddy García. Dios lo bendiga.,1612,2024-06-07 16:55:15,0,0
SolcaPortoviejo/192107524275402_770639558579498/192107524275402_770639558579498,Excelente doctor,1614,2024-06-07 22:33:02,0,0
SolcaPortoviejo/192107524275402_770639558579498/192107524275402_770639558579498,excelente ser humano el Dr Freddy García Dios le vendiga hoy mañana y siempre,1615,2024-06-08 21:17:10,0,0
SolcaPortoviejo/192107524275402_381253868266705/192107524275402_381253868266705,Alguien me puede decir si ya pudieron arreglar los convenios ?,1619,2024-06-07 13:37:01,0,0
"SolcaPortoviejo/192107524275402_770164585293662/192107524275402_770164585293662,""Muchas gracias por el consejo, Solca Manabí siempre pensando en nosotros"",1623,2024-06-06 20:34:55,0,0"
"SolcaPortoviejo/192107524275402_770163401960447/192107524275402_770163401960447,""Así es amiga, estamos mal todos los pacientes de Solca por las deudas pendientes, por favor ayúdennos. El tratamiento es parte de nuestro proceso para seguir con vida. Tengo pendiente varias tomografías y el costo es de  más o menos 560 dólares y no tengo esa cantidad."",1625,2024-06-06 21:24:45,1,0"
"SolcaPortoviejo/192107524275402_770163401960447/192107524275402_770163401960447,""Yo también necesito una tomografía y una resonancia. Los costos son altos, no nos alcanza. Por favor necesitamos ayuda para seguir con el tratamiento. No queremos retroceder 🙏"",1626,2024-06-06 23:08:32,0,0"
"SolcaPortoviejo/192107524275402_770163401960447/192107524275402_770163401960447,""Por favor ayúdenos con la entrega de la medicina Olaparib, desde el mes de abril  no están entregando esta medicina."",1627,2024-06-07 23:23:04,0,0"
"SolcaPortoviejo/192107524275402_770163401960447/192107524275402_770163401960447,""Por favor ayúdenos con la entrega de la medicina Olaparib, desde el mes de abril  no están entregando esta medicina."",1628,2024-06-07 23:23:25,0,0"
SolcaPortoviejo/192107524275402_769979308645523/192107524275402_769979308645523,Amigos de toda la familia aquí en estimamos mucho nuestro más sentido pésame a todos los amigos,1634,2024-06-06 14:07:25,0,0
"SolcaPortoviejo/192107524275402_769979308645523/192107524275402_769979308645523,""MIS SENTIDAS CONDOLENCIAS A LOS FAMILIARES DEL QUE EN VIDA FUE DR. BRUCKER GARCIA L.,APRECIADO Y DISTINGUIDO PROFESIONAL QUE PRESTABA SUS SERVICIOS MEDICOS EN SOLCA -PORTOVIEJO...QUE DESCANSE EN LA GLORIA DEL PADRE CELESTIAL."",1635,2024-06-06 15:55:56,0,0"
SolcaPortoviejo/192107524275402_769979308645523/192107524275402_769979308645523,QEPD 🪦🌹🙏,1636,2024-06-06 18:46:31,0,0
