username,timestamp,comment
@bolito011,2021-04-29T00:16:43.000Z,peor son los jueces en especial los de manabi con esas sentencias compradas por los ladrones correistas que se ferearon el dinero del hospital de pedernales
@FernandoMideros,2021-04-28T13:01:37.000Z,como dueles manabi por tanto dano que te hacen los corruptos  fiscaliaecuador  no lo permitas hospital de pedernales
@darwinloorvelez,2021-04-28T03:00:48.000Z,a mas de otro aeropuerto en manabi lo que realmente hace falta es un hospital pediatrico que no tengamos que ir a guayaquil o quito para hacer atender a nuestros ninos ojo al dato sr  lassoguillermo   hagase ver con un hospital pediatrico casanovaalcalde  agustinintriago
@HctorVlez12,2021-04-27T22:46:45.000Z,claro esta que hablas pendejadas que escuchas nada verificado hablas de hospital de manabi manabi esta compuesto x 22 cantones sabes cuantas obras creo  mashirafael  en manabi sabes porque despues de toda la campana de desprestigio que le hicieron a rc la gent cree en el
@sir_dannielito,2021-04-27T20:47:25.000Z,la refineria donde esta donde esta el hospital de manabi donde esta el dinero de la reconstruccion se lo robaron todo en la decada ganada prefiero que no haya obras a que se roben el dinero
@monica474748,2021-04-27T16:53:21.000Z,deberian investigar que en la universidad de manabi sigue recibiendo sueldo uno de los involucrados en la corrupcion del hospital de pedernales y que actualmente se encuentra profugo de la justicia 
@EtchegoyenBahia,2021-04-27T15:20:57.000Z,ministro watted le recuerdo que el presidente  ofrecio  en bahia  el 2 de agosto del 2019 que bahia  tendra su hospital completo y equipado hasta cuando espera manabi
Luis Laines@9,2021-04-27T05:40:38.000Z,el asambleista xavierssi es posible dara su vida para que se cumpla con la obra del hospital en pedernales y  otros asambleista de honor van a defender lo que es de manabiy los que estuvieron al frente contratista tendran que bomitar sinverguenzas viles
@amarilism56,2021-04-27T02:47:55.000Z,total apoyo para seguir en la lucha y exigir que se haga justicia en contra de los responsables del atraco que se cometio en el hospital de pedernales basta ya  a manabi se lo respeta
@Chone1962,2021-04-26T20:13:18.000Z,chone necesita su hospital terminado totalmente y la creacion de su universidad autonoma para la zona norte de manabi
@EtchegoyenBahia,2021-04-26T19:34:54.000Z,recuerde ministro salinas que manabi  es tambien  ecuador  que  pasa con el equipamiento del hospital de bahia  
@crch76,2021-04-26T12:20:47.000Z,muy bien  la repotenciacion de la refineria de esmeraldas la construccion de la refineria en manabi la intermediacion petrolera el caso las torres los bucaram  el hospital de bahia  el hospital de pedernales
@Vito12378,2021-04-25T18:26:40.000Z,jorgewated  se rumora q manana va a llegar ctamayo al  hospital iess portoviejo para resolver el tema de la direccion de ese hospital en manabi te fallo tu pana porque entrego todo el poder a una sola familia que han abusado de poder y corrupccion laposta  villafernando_
@e_paul_fc89,2021-04-25T16:21:22.000Z,aplatar un terreno con mas de 1500 millones es una falta de respeto hacia manabi actualmente pasaron 5 anos del terremoto y pedernales no tiene hospital  la plata te la feriaste en otro lado y aquel canton no le diste lo que por ley le corresponde
@homerbush9,2021-04-25T14:17:02.000Z,elisasacoto  villafernando_  vito12378   esposo de tamara sotomayor cordinadora salud iess manabi respalda el sentir de la sociedad por reintegro de directora hospital portoviejo hgp_iess
@BETM011,2021-04-25T04:09:21.000Z,la ultima experiencia en manabi con fuerte  el currincho  me fue mal litro y medio me fui a parar al hospital 
@miguelmarino75,2021-04-25T02:31:50.000Z,aja asi como manabi luego del terremoto en 5 anos ni siquiera hospital
@DTersn,2021-04-24T19:51:04.000Z,y pensar esa plata que era de 3400 millones de dolares se los robo don guason correa era plata para manabi ahi hubiera ese hospital y ahi no colapsara   quito y guayaquil de hospitales  para lo del covid 19  que desgraciado y perverzo es don guadon correa
@manabi5,2021-04-23T17:48:43.000Z,thanks maam the list shows only 2 beds available with ventilator but the no one id picking up the call in those hospitals 
@betico_azul,2021-04-23T16:46:16.000Z,nooo hijo bruto de correa ya se hubieran negociado las vacunas y se las habrian solo puestos sus lacayos te hago recuerdo que la reconstruccion de manabi y esmeraldas esta pendiente todavia no hay hospital en pedernales bahia de caraquez donde esta toda esa plata aceptalo
@RobertoAndrad24,2021-04-22T23:42:51.000Z,algo parecido pasa con manabi sobre todo con  manta pero al reves con una pesima concesion del puerto una via q no era preoridad parada casi 4 anos sin hospitales d bahiapedernales mantachone sin terminar el hospital d especialidades d portoviejo inconcluso d los q me acuerdo
@CesarDelgado91,2021-04-22T21:06:46.000Z,despues del terremoto del 2016 en manabi nunca terminaron un solo hospital todas las donaciones recibidas y los millones de dolares  para los damnificados se la farreo tu gente y aun asi tu partido politico gano en esa provincia  quien los entiende
@Equinoccial666,2021-04-17T18:57:41.000Z,canton sin hospital se robaron los 3000 millones y el asunto manabi no lo toco por que si explico porque gana rc ahi me gano un tiro
@luish51,2021-04-17T18:15:08.000Z,lo que son es necios les robaron todo le recaudado para la recuperacion de manabi y siguen creyendo en el corruptootro manaba correista tambien les robo todo lo que era para el hospital de pedernales no entienenden borregos brutos
@leonardog27,2021-04-17T17:44:13.000Z,si en pedernales manabi  lassoguillermo  no les hace el hospital que los gobiernos de la robolucion no le hicieron luego del terremoto entonces lasso sacaria el 80 en 2025 mucha droga y corrupcion enquistada en ese tono naranja palido
@DeysiCastillo24,2021-04-17T14:56:39.000Z,una cosa es lo que usted decia y otra cosa la que hacia y hacian nunca reconstruyeron a manabi ni hospital tienen a pesar que se recibio tantas donaciones del varios paises
@javierlopez2893,2021-04-17T14:12:38.000Z,en que planeta vive yo vivo en la tierra en ecuador en pedernales manabi y aca no ha llegado la famosa reconstruccion no tenemos ni hospital
@cgbb_gise,2021-04-17T02:01:42.000Z,quien gobierna actualmente debio seguir con la reconstruccion de manabi pero no lo hizo mejor dejo que se robaran el dinero un claro ejemplo esta el caso de la construccion del hospital para pedernales
@cesar197449,2021-04-17T00:04:56.000Z,en manabi les dieron una refineria invisible casas invisibles y un hospital invisible como se llama la obra  hasta la victoria siempre companeritos 
@Mariusgard,2021-04-16T23:40:13.000Z,esa foto es del hospital de duran que lleva casi 4 anos en construccion no de manabi
@matiasmoreirac,2021-04-16T23:26:46.000Z,nadie me creera pero esa noche de la bombonera me abri el talon festejando el gol de a mina eran dias dificiles para mi familia y todo manabi en general que ese gol fue una caricia al alma y explotamos de emocion despues de que terminara el partido recien fui al hospital
@snoopydj2011,2021-04-16T16:45:26.000Z,manabi es la provincia en donde el corrupto correismo mas robo 3000 millones del dinero de la reconstruccion 1500 en aplanar el terreno del aromo 10 millones en el hospital de pedernales es imposible de creer que haya gente que apoye y defienda al psicopata  mashirafael 
@NubiaVelezEC,2021-04-15T18:17:59.000Z,lassoguillermo  estimado presidente cuando se posesione como habitante de chone le pido o solicito la habilitacion urgente del hospital de chone  y que el hospital provisional que tenemos quede exclusivamente para tratar los caso de covid de la zona norte de manabi  1 de 2
@tulitabp,2021-04-15T18:00:52.000Z,esa misma cara de la boba q habla puse yo cuando se confirmo q en manabi luego de aportar lo del iva ni un solo hospital construyeron luego del terremoto de todo da la vina
@julioandres_14,2021-04-15T17:28:24.000Z,el dinero del hospital de pedernales ud creo que si tiene conocimiento que paso por eso le digo a  yakuperezg  que no se olvide de manabi como lo hizo luego de campana y deseo la mayor de la suerte al senor presidente electo  lassoguillermo
@PrensaEc1,2021-04-14T23:58:06.000Z,chone manabi el gobierno nacional a traves del ministerio de transporte y obras publicas mtop construye el hospital napoleon davila obra que se entregara en los proximos dias para mejorar la salud de los habitantes de chone y toda la provincia de manabi
@jorge_g_rueda_r,2021-04-14T20:27:09.000Z,enceguecer estando a la vista la falta de reconstruccion por el terremoto la inexistencia de la refineria el retraso del hospital de pedernales no seamos ciegos tambien lo de manabi es fanatismo brutal y enfermizo
@Tonyzam12,2021-04-14T14:39:46.000Z,en que manabi vives  por eso estan asi en la mierda pedernales sin hospital los bomberos en casa de cana  construida  por ellos mismos las calles en la mierda  puentes a medio construir y asi un sin numero de cosas ahh  y la gran refineria que  solo es usada por los narcos 
@drluchito,2021-04-14T06:29:00.000Z,1500 millones costo aplanar un terreno para una refineria q nunca se entrego 8000 millones para un hospital en pedernales q no se construyo se hicieron humo el dinero q todos aportamos para lo del terremoto jamas lo entregaron se lo faenaron en verdad no entiendo a manabi 
