"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HospitalVerdi";"423";"None";"0";"HospitalVerdi";"seed";"";"";"None";"None";"";"";"";"";""
"HospitalVerdi/566653036690899_849496780550892";"424";"423";"1";"566653036690899_849496780550892";"data";"data.*";"fetched (200)";"2024-06-08 20:36:31.042314";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | La lucha contra el VIH se refuerza ♥️💊🏥  Revisa los pormenores del lanzamiento de la PrEP, en el segmento “La Noticia Más Bacán de la Semana” del Hospital Verdi Cevallos.";"2024-06-07T23:49:06+0000";"";"";""
"HospitalVerdi/566653036690899_849496780550892/566653036690899_849496780550892";"525";"424";"2";"566653036690899_849496780550892";"data";"data.*";"fetched (200)";"2024-06-08 20:37:36.680405";"Facebook:/<post-id>/comments";"👏🏻👏🏻👏🏻👏🏻👏🏻";"2024-06-08T00:15:35+0000";"0";"0";""
"HospitalVerdi/566653036690899_849496780550892/566653036690899_849496780550892";"526";"424";"2";"566653036690899_849496780550892";"data";"data.*";"fetched (200)";"2024-06-08 20:37:36.680405";"Facebook:/<post-id>/comments";"";"2024-06-08T14:46:36+0000";"0";"0";""
"HospitalVerdi/566653036690899_849496780550892/566653036690899_849496780550892";"527";"424";"2";"566653036690899_849496780550892";"offcut";"";"fetched (200)";"2024-06-08 20:37:36.680405";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalVerdi/566653036690899_848738050626765";"425";"423";"1";"566653036690899_848738050626765";"data";"data.*";"fetched (200)";"2024-06-08 20:36:31.042314";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | La PrEP a través de los medios de comunicación 💊📺🏥  En diálogo con varios medios de la región, nuestra infectóloga, Giovanina Laprea, informó acerca del tratamiento pre-exposición al VIH, PrEP, que fue lanzado hoy oficialmente desde el Hospital Verdi Cevallos, al público general.";"2024-06-06T18:28:41+0000";"";"";""
"HospitalVerdi/566653036690899_848738050626765/566653036690899_848738050626765";"528";"425";"2";"566653036690899_848738050626765";"empty";"";"fetched (200)";"2024-06-08 20:37:37.043005";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalVerdi/566653036690899_848738050626765/566653036690899_848738050626765";"529";"425";"2";"566653036690899_848738050626765";"offcut";"";"fetched (200)";"2024-06-08 20:37:37.043005";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalVerdi/566653036690899_848731767294060";"426";"423";"1";"566653036690899_848731767294060";"data";"data.*";"fetched (200)";"2024-06-08 20:36:31.042314";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | Lanzamos el tratamiento PrEP por todo lo alto 🥳🎈🎉🏥  En una actividad oficial, el Hospital Verdi Cevallos a través de su Unidad de Atención Integral, UAI, para pacientes con VIH, presentó al público el tratamiento profiláctico pre exposicion (PrEP).  Se trata de un medicamento para personas negativas para el virus, pero cuyo estilo de vida o trabajo les exponen a encuentros sexuales de alto riesgo.  “Un comprimido diario por el tiempo que el paciente considere necesario, es el método de uso”, explicó nuestra infectóloga, Giovanina Laprea, aclarando que el médico es quien evalúa la idoneidad de cada persona para recibir el tratamiento, luego de analizar su situación de salud.   Durante la actividad se ofertaron pruebas de laboratorio para los asistentes, así como trípticos con información respecto al tratamiento, que busca disminuir el número de contagios del VIH.   Todo un equipo interdisciplinario de este Hospital se conformó para el lanzamiento y manejo del tratamiento desde la UAI, incluyendo especialistas, enfermeras, psicólogos, laboratoristas y químicos farmacéuticos.  El acceso a la medicación es a libre demanda y se canaliza a través del área de Consejería de la Unidad, en el consultorio 34 de la segunda planta de la Consulta Externa.";"2024-06-06T18:14:53+0000";"";"";""
"HospitalVerdi/566653036690899_848731767294060/566653036690899_848731767294060";"530";"426";"2";"566653036690899_848731767294060";"data";"data.*";"fetched (200)";"2024-06-08 20:37:37.254155";"Facebook:/<post-id>/comments";"👏🏻👏🏻👏🏻👏🏻";"2024-06-06T19:49:20+0000";"0";"0";""
