"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HospitalChone";"1190";"None";"0";"HospitalChone";"seed";"";"";"None";"None";"";"";"";"";""
"HospitalChone/1219414631421488_975488724362265";"1191";"1190";"1";"1219414631421488_975488724362265";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | 🩺“Guía de Práctica Clínica de Hipertensión Arterial” fue el tema que recibió el personal médico del Hospital General Dr. Napoleón Dávila Córdova en la jornada de docencia intrahospitalaria, el cual fue disertado por el Dr. Simón García Meza, especialista en cardiología.";"2024-06-05T19:50:52+0000";"";"";""
"HospitalChone/1219414631421488_975488724362265/1219414631421488_975488724362265";"1292";"1191";"2";"1219414631421488_975488724362265";"empty";"";"fetched (200)";"2024-06-08 21:38:33.848510";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975488724362265/1219414631421488_975488724362265";"1293";"1191";"2";"1219414631421488_975488724362265";"offcut";"";"fetched (200)";"2024-06-08 21:38:33.848510";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975485451029259";"1192";"1190";"1";"1219414631421488_975485451029259";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-06-05T19:42:31+0000";"";"";""
"HospitalChone/1219414631421488_975485451029259/1219414631421488_975485451029259";"1294";"1192";"2";"1219414631421488_975485451029259";"empty";"";"fetched (200)";"2024-06-08 21:38:34.182923";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975485451029259/1219414631421488_975485451029259";"1295";"1192";"2";"1219414631421488_975485451029259";"offcut";"";"fetched (200)";"2024-06-08 21:38:34.182923";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975485384362599";"1193";"1190";"1";"1219414631421488_975485384362599";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-06-05T19:42:23+0000";"";"";""
"HospitalChone/1219414631421488_975485384362599/1219414631421488_975485384362599";"1296";"1193";"2";"1219414631421488_975485384362599";"empty";"";"fetched (200)";"2024-06-08 21:38:34.399924";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975485384362599/1219414631421488_975485384362599";"1297";"1193";"2";"1219414631421488_975485384362599";"offcut";"";"fetched (200)";"2024-06-08 21:38:34.399924";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975460037698467";"1194";"1190";"1";"1219414631421488_975460037698467";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-06-05T18:36:16+0000";"";"";""
"HospitalChone/1219414631421488_975460037698467/1219414631421488_975460037698467";"1298";"1194";"2";"1219414631421488_975460037698467";"empty";"";"fetched (200)";"2024-06-08 21:38:34.721554";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_975460037698467/1219414631421488_975460037698467";"1299";"1194";"2";"1219414631421488_975460037698467";"offcut";"";"fetched (200)";"2024-06-08 21:38:34.721554";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972574131320391";"1195";"1190";"1";"1219414631421488_972574131320391";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | 🫅🏻👸🏻Integrantes del Voluntariado Hospitalario Hermano Ten Mi Mano y la Niña Malena Corella Molina Madrina de los Neonatos, realizaron visita a los RN,  pacientes y usuarios de diferentes áreas del Hospital General Dr. Napoleón Dávila, entregaron un presentes por motivo de la conmemoración del #DíaInternacionalDelNiño, a quienes les agradecemos por su gran gesto solidario.";"2024-05-31T22:05:02+0000";"";"";""
"HospitalChone/1219414631421488_972574131320391/1219414631421488_972574131320391";"1300";"1195";"2";"1219414631421488_972574131320391";"empty";"";"fetched (200)";"2024-06-08 21:38:35.061838";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972574131320391/1219414631421488_972574131320391";"1301";"1195";"2";"1219414631421488_972574131320391";"offcut";"";"fetched (200)";"2024-06-08 21:38:35.061838";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972565107987960";"1196";"1190";"1";"1219414631421488_972565107987960";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | ⭕ #ElDíaMundialSinTabaco” fue conmemorado con una interesante charla educativa impartida por un equipo de profesionales multidisciplinarios del Hospital General Dr. Napoleón Dávila Córdova y dirigida a usuarios internos y externos, en el cual se hizo énfasis en la necesidad de proteger a los niñas, niñas y adolescentes del uso tanto del tabaco como vapeadores, todos los cuales afectan peligrosamente a la salud.";"2024-05-31T21:37:11+0000";"";"";""
"HospitalChone/1219414631421488_972565107987960/1219414631421488_972565107987960";"1302";"1196";"2";"1219414631421488_972565107987960";"empty";"";"fetched (200)";"2024-06-08 21:38:35.375836";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972565107987960/1219414631421488_972565107987960";"1303";"1196";"2";"1219414631421488_972565107987960";"offcut";"";"fetched (200)";"2024-06-08 21:38:35.375836";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972394618005009";"1197";"1190";"1";"1219414631421488_972394618005009";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#Quito | ¡Hoy es el Día Mundial Sin Tabaco🚭!  Este año, la @opsoms recuerda la importancia de proteger a niños, niñas y jóvenes de sus efectos nocivos👧👦. @Salud_Ec se suma a esta fecha con su compromiso de   trabajo en políticas públicas de #Prevención para cuidar su salud. 🛡️";"2024-05-31T15:16:17+0000";"";"";""
"HospitalChone/1219414631421488_972394618005009/1219414631421488_972394618005009";"1304";"1197";"2";"1219414631421488_972394618005009";"empty";"";"fetched (200)";"2024-06-08 21:38:35.677440";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972394618005009/1219414631421488_972394618005009";"1305";"1197";"2";"1219414631421488_972394618005009";"offcut";"";"fetched (200)";"2024-06-08 21:38:35.677440";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972365274674610";"1198";"1190";"1";"1219414631421488_972365274674610";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-31T14:19:54+0000";"";"";""
