"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HRZManta";"869";"None";"0";"HRZManta";"seed";"";"";"None";"None";"";"";"";"";""
"HRZManta/726911277379431_874978194668864";"870";"869";"1";"726911277379431_874978194668864";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"Varios encuentros y reuniones técnicas, coyunturales y de cooperación interinstitucional, se han llevado a cabo en este fin de semana, lideradas por nuestro gerente el doctor Hayro Daza Vera.   Las reuniones desarrolladas son:  - Con la Jefatura Política dé Montecristi  - Con la Coordinación Zonal 4 del Registro Civil  - Con cooperantes y empresarios   Estos encuentros permitirán fortalecer nuestros servicios hospitalarios y beneficiar a nuestros pacientes.   #ElNuevoEcuadorResuelve  #HRZMejorPorTi";"2024-06-08T00:34:03+0000";"";"";""
"HRZManta/726911277379431_874978194668864/726911277379431_874978194668864";"971";"870";"2";"726911277379431_874978194668864";"empty";"";"fetched (200)";"2024-06-08 21:23:16.569887";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_874978194668864/726911277379431_874978194668864";"972";"870";"2";"726911277379431_874978194668864";"offcut";"";"fetched (200)";"2024-06-08 21:23:16.569887";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_874243208075696";"871";"869";"1";"726911277379431_874243208075696";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-06-06T22:31:58+0000";"";"";""
"HRZManta/726911277379431_874243208075696/726911277379431_874243208075696";"973";"871";"2";"726911277379431_874243208075696";"empty";"";"fetched (200)";"2024-06-08 21:23:16.943697";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_874243208075696/726911277379431_874243208075696";"974";"871";"2";"726911277379431_874243208075696";"offcut";"";"fetched (200)";"2024-06-08 21:23:16.943697";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_873525681480782";"872";"869";"1";"726911277379431_873525681480782";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-06-05T18:38:32+0000";"";"";""
"HRZManta/726911277379431_873525681480782/726911277379431_873525681480782";"975";"872";"2";"726911277379431_873525681480782";"empty";"";"fetched (200)";"2024-06-08 21:23:17.216294";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_873525681480782/726911277379431_873525681480782";"976";"872";"2";"726911277379431_873525681480782";"offcut";"";"fetched (200)";"2024-06-08 21:23:17.216294";"Facebook:/<post-id>/comments";"";"";"";"";""
