"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"SolcaPortoviejo";"1499";"None";"0";"SolcaPortoviejo";"seed";"";"";"None";"None";"";"";"";"";""
"SolcaPortoviejo/192107524275402_771337455176375";"1500";"1499";"1";"192107524275402_771337455176375";"data";"data.*";"fetched (200)";"2024-06-08 21:42:09.352667";"Facebook:/<page-id>/posts";"Para acceder al paquete de control prostático debe agendar su cita con mínimo 3 días de anticipación, en el área de urología del hospital de SOLCA Portoviejo. Esta jornada de atención uro-oncológica se desarrolla durante los sábados 15, 22 y 29 del presente mes de junio.";"2024-06-08T20:16:12+0000";"";"";""
"SolcaPortoviejo/192107524275402_771337455176375/192107524275402_771337455176375";"1601";"1500";"2";"192107524275402_771337455176375";"empty";"";"fetched (200)";"2024-06-08 21:44:23.274282";"Facebook:/<post-id>/comments";"";"";"";"";""
"SolcaPortoviejo/192107524275402_771337455176375/192107524275402_771337455176375";"1602";"1500";"2";"192107524275402_771337455176375";"offcut";"";"fetched (200)";"2024-06-08 21:44:23.274282";"Facebook:/<post-id>/comments";"";"";"";"";""
"SolcaPortoviejo/192107524275402_770664831910304";"1501";"1499";"1";"192107524275402_770664831910304";"data";"data.*";"fetched (200)";"2024-06-08 21:42:09.352667";"Facebook:/<page-id>/posts";"La Dra. Ruth Rivera de Zambrano, presidenta de Solca Manabí, comparte información crucial sobre la situación actual del hospital en una entrevista exclusiva.   Obtén perspectivas directas sobre las medidas tomadas para garantizar la atención médica de calidad para nuestra comunidad.   #SolcaManabí #CuidandoTuSalud #atención";"2024-06-07T16:39:22+0000";"";"";""
"SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304";"1603";"1501";"2";"192107524275402_770664831910304";"data";"data.*";"fetched (200)";"2024-06-08 21:44:23.630730";"Facebook:/<post-id>/comments";"Por favor ayúdenos con la entrega de la medicina Olaparib, desde el mes de abril  no están entregando esta medicina.";"2024-06-07T17:57:37+0000";"1";"0";""
"SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304";"1604";"1501";"2";"192107524275402_770664831910304";"data";"data.*";"fetched (200)";"2024-06-08 21:44:23.630730";"Facebook:/<post-id>/comments";"Por favor la atención a los pacientes que tienen sus tratamientos están suspendido los convenios Señor presidente #DanielNoboaAzin ayudenos en el sistema de la salud";"2024-06-08T02:18:12+0000";"0";"0";""
"SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304";"1605";"1501";"2";"192107524275402_770664831910304";"data";"data.*";"fetched (200)";"2024-06-08 21:44:23.630730";"Facebook:/<post-id>/comments";"No están atendiendo a los pacientes derivados del IESS.";"2024-06-09T00:33:21+0000";"0";"0";""
"SolcaPortoviejo/192107524275402_770664831910304/192107524275402_770664831910304";"1606";"1501";"2";"192107524275402_770664831910304";"offcut";"";"fetched (200)";"2024-06-08 21:44:23.630730";"Facebook:/<post-id>/comments";"";"";"";"";""
"SolcaPortoviejo/192107524275402_770659501910837";"1502";"1499";"1";"192107524275402_770659501910837";"data";"data.*";"fetched (200)";"2024-06-08 21:42:09.352667";"Facebook:/<page-id>/posts";"En Solca Manabí, escuchamos la voz de nuestros pacientes.   En esta entrevista, compartimos sus experiencias y preocupaciones sobre la situación actual del hospital.   Juntos, trabajamos para superar los desafíos y seguir brindando la mejor atención posible.  #SolcaManabí #PacientesPrimero #CuidadoDeLaSalud";"2024-06-07T16:31:56+0000";"";"";""
