Username,Timestamp,Content
@WCheleA,2024-07-03T13:56:20.000Z,Portoviejo  Pensé que en mi vida había visto todo pasó  en HOSPITAL VERDI CEVALLOS  enfermera tuvo  la poca amabilidad de atender a un niño que había sido atropellado y tenía una gran protuberancia en la cabeza lo tuvo en sala de espera 3 horas sin atención   @Salud_Ec  de Salud
@ecuaplomodolor,2024-06-12T23:50:28.000Z,"PORTOVIEJO   Hace poco acaban de APUÑALAR a un ESTUDIANTE del COLEGIO PORTOVIEJO, el estudiante fue trasladado al HOSPITAL VERDI CEVALLOS."
@RComunitariosEc,2024-06-12T22:48:51.000Z,"Ya ahora nuestros adolescentes y jóvenes estudiantes?  @Educacion_Ec Estudiante fue apuñalado tras pelea en colegio #Portoviejo, fue trasladado de inmediato al hospital Regional Verdi Cevallos   Noticia en Desarrollo   #RMCEc @JuankBanda593"
@rgarcia25S,2024-06-12T22:00:31.000Z,"Inmediatamente, el herido fue trasladado de urgencia al hospital Verdi Cevallos Balda, donde recibió atención médica. Las autoridades educativas no se han pronunciado hasta el momento sobre el hecho."
@manabac4n,2024-06-12T20:28:54.000Z,"#ATENCIÓN Hace poco acaban de apuñalar a un estudiante del colegio #Portoviejo, el estudiante fue traslado al hospital Verdi Cevallos. ¿Cómo es posible que dentro de la institución educativa pasen estas cosas?"
@aldiacomec,2024-06-12T19:56:33.000Z,"Un estudiante fue herido durante una pelea en el Colegio Portoviejo-Manabí, el alumno fue trasladado de manera urgente al Hospital Regional Verdi Cevallos.  @aldiacomec"
@wenewsec,2024-06-12T19:12:52.000Z,"#URGENTE Manabí, Vídeo muestra al estudiante que fue herido durante una pelea en el Colegio Portoviejo, el alumno fue trasladado de manera urgente al Hospital Regional Verdi Cevallos  #SomosWeNewsEc"
@8659a4c60a12483,2024-06-05T23:53:21.000Z,"Por favor  ayúdenos, tenemos un niño de apenas 8 años que tiene una semana convulsionando llegamos a portoviejo desde esmeraldas al hospital Verdi Cevallos y no dan con el pronblema del niño, le hicimos todo tipo de exámenes por fuera y no dan con las causas!!"
@8659a4c60a12483,2024-06-05T23:26:58.000Z,"Por favor  ayúdenos, tenemos un niño de apenas 8 años que tiene una semana convulsionando llegamos a portoviejo desde esmeraldas al hospital Verdi Cevallos y no dan con el pronblema del niño, le hicimos todo tipo de exámenes por fuera y no dan con las causas"
@Jado2096,2024-05-30T19:07:35.000Z,"En el hospital Verdi Cevallos ingrese a las 11 am para atenderme  por un orzuelo me valoraron y me dijeron que tenía que esperar. Así fue esperé pacientemente, me terminaron atendiendo 3y30PM para decirme que no pueden tratar un orzuelo solo debo debo esperar que se reviente."
@HospitalVerdi,2024-05-23T22:17:38.000Z,#ElNuevoEcuador | Danna es una madre donante    Conoce cómo la donación de leche ha cambiado para bien la vida de Danna. El Banco de Leche Humana del Hospital Verdi Cevallos ha sido su principal aliado en este proceso de dar “amor en cada gota” 
@8659a4c60a12483,2024-06-05T23:53:21.000Z,"Por favor  ayúdenos, tenemos un niño de apenas 8 años que tiene una semana convulsionando llegamos a portoviejo desde esmeraldas al hospital Verdi Cevallos y no dan con el pronblema del niño, le hicimos todo tipo de exámenes por fuera y no dan con las causas!!"
@8659a4c60a12483,2024-06-05T23:26:58.000Z,"Por favor  ayúdenos, tenemos un niño de apenas 8 años que tiene una semana convulsionando llegamos a portoviejo desde esmeraldas al hospital Verdi Cevallos y no dan con el pronblema del niño, le hicimos todo tipo de exámenes por fuera y no dan con las causas"
@Jado2096,2024-05-30T19:07:35.000Z,"En el hospital Verdi Cevallos ingrese a las 11 am para atenderme  por un orzuelo me valoraron y me dijeron que tenía que esperar. Así fue esperé pacientemente, me terminaron atendiendo 3y30PM para decirme que no pueden tratar un orzuelo solo debo debo esperar que se reviente."
@HospitalVerdi,2024-05-23T22:17:38.000Z,#ElNuevoEcuador | Danna es una madre donante    Conoce cómo la donación de leche ha cambiado para bien la vida de Danna. El Banco de Leche Humana del Hospital Verdi Cevallos ha sido su principal aliado en este proceso de dar “amor en cada gota” 
@PalizMiguel,2024-05-23T16:03:54.000Z,Lo que afirmas es subjetivo. Ni siquiera existen cifras que sostengan lo que dices. Pero se dirá cualquier cosa con tal de intentar justificar lo injustificable. A propósito. El Verdi Cevallos sigue inconcluso. OCHO AÑOS DESPUES.
@HospitalVerdi,2024-05-17T16:10:12.000Z,#ElNuevoEcuador | Hablamos del PREP y PEP con el equipo médico   El tratamiento PREP (manejo pre exposición VIH ) y PEP (manejo pos exposición VIH) fue socializado en la sección viernes científico del Hospital Verdi Cevallos con el equipo de especialistas médicos. 1/2
@HospitalVerdi,2024-05-05T17:45:36.000Z,"#ElNuevoEcuador | Una semana de actividades por la Higiene de Manos   Este domingo, el mundo conmemora el Día de la Higiene de Manos, por lo que el Hospital Verdi Cevallos destinará la semana entera para realizar actividades, educativas, lúdicas y dinámicas 1/2"
@jeancastilloma,2024-05-02T11:55:21.000Z,"Hospital especialidades Portoviejo, repotenciacion verdi Cevallos, Puerto pesquero varios, mejoramiento vial, via manta ampliada, via alterna a manta construida, hospital Chone se usó con esos fondos, bahía. Ahora el Novita con mismo presupuesto que correa no hace nada."
